date,event,utr_singles_masked,utr_doubles_masked,utr_singles_unmasked,utr_doubles_unmasked
2024-05-19T00:00:00,2024 CORTA USTA MXD 40 & Over - Summer/3.5,1.xx,2.xx,1.23,2.68
2024-05-16T00:00:00,2024 CORTA USTA MXD 40 & Over - Summer/3.5,1.xx,2.xx,1.23,2.68
2024-05-07T00:00:00,"2024 CORTA TRI-LEVEL 18 & Over - Spring/Women  2.5, 3.0, 3.5",1.xx,2.xx,1.23,2.68
2024-05-02T00:00:00,"2024 CORTA TRI-LEVEL 18 & Over - Spring/Women  2.5, 3.0, 3.5",1.xx,2.xx,1.23,2.68
2024-04-23T00:00:00,"2024 CORTA TRI-LEVEL 18 & Over - Spring/Women  2.5, 3.0, 3.5",1.xx,2.xx,1.23,2.68
2024-04-18T00:00:00,"2024 CORTA TRI-LEVEL 18 & Over - Spring/Women  2.5, 3.0, 3.5",1.xx,2.xx,1.23,2.68
2024-04-16T00:00:00,"2024 CORTA TRI-LEVEL 18 & Over - Spring/Women  2.5, 3.0, 3.5",1.xx,2.xx,1.23,2.68
2024-04-25T00:00:00,"2024 CORTA TRI-LEVEL 40 & Over - Spring/Women 3.0, 3.5, 4.0",1.xx,2.xx,1.23,2.68
2024-04-09T00:00:00,"2024 CORTA TRI-LEVEL 40 & Over - Spring/Women 3.0, 3.5, 4.0",1.xx,2.xx,1.23,2.68
2024-03-25T00:00:00,2024 CORTA USTA Adult 40 & Over - Spring/Women 3.5,1.xx,2.xx,1.23,2.68
2024-03-24T00:00:00,2024 CORTA USTA Adult 40 & Over - Spring/Women 3.5,1.xx,2.xx,1.23,2.68
2024-03-10T00:00:00,2024 CORTA USTA Adult 40 & Over - Spring/Women 3.5,1.xx,2.xx,1.23,2.68
2024-02-14T00:00:00,2024 CORTA USTA Adult 40 & Over - Spring/Women 3.5,1.xx,2.xx,1.23,2.68
2024-03-23T00:00:00,2024 CORTA USTA Adult 18 & Over - Spring/Women 3.5,1.xx,2.xx,1.23,2.68
2024-03-16T00:00:00,2024 CORTA USTA Adult 18 & Over - Spring/Women 3.5,1.xx,2.xx,1.23,2.68
2024-03-02T00:00:00,2024 CORTA USTA Adult 18 & Over - Spring/Women 3.5,1.xx,2.xx,1.23,2.68
2024-02-15T00:00:00,2024 CORTA USTA Adult 18 & Over - Spring/Women 4.0 Low (Check Eligibility List),1.xx,2.xx,1.23,2.68
